anho,universidad,nivel,unidad_academica,programa_curso,matriculados_m,matriculados_h,matriculados_t,egresados_m,egresados_h,egresados_t,total_general,docentes_m,docentes_h,docentes_t,area_conocimiento
2024,UNA,G,Derecho y Ciencias Sociales,,3475,4005,7480,634,836,1470,8950,385,606,991,Derecho y Ciencias Sociales
2024,UNA,G,Ciencias Medicas,,1069,718,1787,148,72,220,2007,249,291,540,Salud
2024,UNA,G,Ingenieria,,841,2304,3145,90,167,257,3402,177,511,688,Ingenieria y Tecnologia
2024,UNA,G,Ciencias Economicas,,5031,3496,8527,456,231,687,9214,844,1129,1973,Ciencias Economicas y Administracion
2024,UNA,G,Odontologia,,168,52,220,41,6,47,267,208,52,260,Salud
2024,UNA,G,Ciencias Quimicas,,1292,445,1737,113,35,148,1885,190,91,281,Ciencias Basicas
2024,UNA,G,Filosofia,,2729,1279,4008,350,136,486,4494,511,327,838,Educacion y Humanidades
2024,UNA,G,Ciencias Veterinarias,,1088,840,1928,271,266,537,2465,336,304,640,Ciencias Veterinarias
2024,UNA,G,Ciencias Agrarias,,1600,1762,3362,108,127,235,3597,128,109,237,Ciencias Agrarias
2024,UNA,G,Ciencias Exactas y Naturales,,1395,962,2357,113,63,176,2533,239,222,461,Ciencias Basicas
2024,UNA,G,Arquitectura Disenho y Arte,,2481,1109,3590,192,88,280,3870,324,293,617,Ingenieria y Tecnologia
2024,UNA,G,Politecnica,,1193,2948,4141,100,194,294,4435,222,366,588,Ingenieria y Tecnologia
2024,UNA,G,Enfermeria y Obstetricia,,1247,274,1521,145,29,174,1695,580,181,761,Salud
2024,UNA,G,Ciencias Sociales,,627,224,851,61,21,82,933,47,27,74,Educacion y Humanidades
2024,UNA,P,Derecho y Ciencias Sociales,Especializacion,122,68,190,0,0,0,190,8,2,10,Derecho y Ciencias Sociales
2024,UNA,P,Derecho y Ciencias Sociales,Diplomado,297,200,497,198,199,397,894,5,13,18,Derecho y Ciencias Sociales
2024,UNA,P,Derecho y Ciencias Sociales,Maestria,74,55,129,0,0,0,129,8,24,32,Derecho y Ciencias Sociales
2024,UNA,P,Derecho y Ciencias Sociales,Doctorado,57,46,103,0,0,0,103,5,13,18,Derecho y Ciencias Sociales
2024,UNA,P,Ciencias Medicas,Capacitacion,39,30,69,0,0,0,69,0,5,5,Salud
2024,UNA,P,Ciencias Medicas,Especializacion,412,281,693,148,115,263,956,455,458,913,Salud
2024,UNA,P,Ciencias Medicas,Maestria,25,6,31,3,5,8,39,7,21,28,Salud
2024,UNA,P,Ingenieria,Capacitacion,89,91,180,7,26,33,213,4,0,4,Ingenieria y Tecnologia
2024,UNA,P,Ingenieria,Especializacion,43,30,73,21,18,39,112,2,0,2,Ingenieria y Tecnologia
2024,UNA,P,Ingenieria,Maestria,13,44,57,2,9,11,68,3,56,59,Ingenieria y Tecnologia
2024,UNA,P,Ingenieria,Doctorado,3,8,11,0,0,0,11,0,17,17,Ingenieria y Tecnologia
2024,UNA,P,Ciencias Economicas,Especializacion,172,78,250,268,138,406,656,2,8,10,Ciencias Economicas y Administracion
2024,UNA,P,Ciencias Economicas,Diplomado,134,54,188,98,59,157,345,12,9,21,Ciencias Economicas y Administracion
2024,UNA,P,Ciencias Economicas,Maestria,382,292,674,45,36,81,755,18,22,40,Ciencias Economicas y Administracion
2024,UNA,P,Odontologia,Actualizacion,8,1,9,0,0,0,9,1,2,3,Salud
2024,UNA,P,Odontologia,Capacitacion,7,0,7,0,0,0,7,2,0,2,Salud
2024,UNA,P,Odontologia,Especializacion,164,42,206,159,38,197,403,42,12,54,Salud
2024,UNA,P,Ciencias Quimicas,Especializacion,194,44,238,74,22,96,334,34,16,50,Ciencias Basicas
2024,UNA,P,Ciencias Quimicas,Doctorado,22,13,35,1,0,1,36,20,9,29,Ciencias Basicas
2024,UNA,P,Ciencias Quimicas,Maestria,36,16,52,1,0,1,53,18,11,29,Ciencias Basicas
2024,UNA,P,Filosofia,Actualizacion,11,10,21,11,10,21,42,2,2,4,Educacion y Humanidades
2024,UNA,P,Filosofia,Especializacion,908,476,1384,908,476,1384,2768,58,25,83,Educacion y Humanidades
2024,UNA,P,Filosofia,Maestria,373,135,508,28,12,40,548,37,47,84,Educacion y Humanidades
2024,UNA,P,Filosofia,Doctorado,62,43,105,8,0,8,113,10,10,20,Educacion y Humanidades
2024,UNA,P,Ciencias Veterinarias,Maestria,55,30,85,1,5,6,91,23,13,36,Ciencias Veterinarias
2024,UNA,P,Ciencias Agrarias,Especializacion,74,55,129,70,50,120,249,23,30,53,Ciencias Agrarias
2024,UNA,P,Ciencias Agrarias,Diplomado,38,17,55,38,17,55,110,12,7,19,Ciencias Agrarias
2024,UNA,P,Ciencias Agrarias,Maestria,36,29,65,15,11,26,91,31,49,80,Ciencias Agrarias
2024,UNA,P,Ciencias Exactas y Naturales,Maestria Doctorado y Especializacion,289,199,488,56,29,85,573,6,20,26,Ciencias Basicas
2024,UNA,P,Arquitectura Disenho y Arte,Actualizacion,66,27,93,60,26,86,179,6,11,17,Ingenieria y Tecnologia
2024,UNA,P,Arquitectura Disenho y Arte,Especializacion,157,80,237,129,62,191,428,6,9,15,Ingenieria y Tecnologia
2024,UNA,P,Arquitectura Disenho y Arte,Maestria,0,0,0,1,1,2,2,3,3,6,Ingenieria y Tecnologia
2024,UNA,P,Arquitectura Disenho y Arte,Diplomado,57,35,92,28,20,48,140,8,10,18,Ingenieria y Tecnologia
2024,UNA,P,Politecnica,Capacitacion,48,45,93,43,37,80,173,2,1,3,Ingenieria y Tecnologia
2024,UNA,P,Politecnica,Especializacion,42,19,61,3,2,5,66,1,2,3,Ingenieria y Tecnologia
2024,UNA,P,Politecnica,Maestria,76,185,261,1,4,5,266,16,47,63,Ingenieria y Tecnologia
2024,UNA,P,Politecnica,Doctorado,9,22,31,1,2,3,34,6,19,25,Ingenieria y Tecnologia
2024,UNA,P,Enfermeria y Obstetricia,Especializacion,204,66,270,49,17,66,336,36,10,46,Salud
2024,UNA,P,Enfermeria y Obstetricia,Diplomado,154,18,172,135,17,152,324,5,3,8,Salud
2024,UNA,P,Enfermeria y Obstetricia,Maestria,50,16,66,20,5,25,91,6,1,7,Salud
2024,UNA,P,Ciencias Sociales,Maestria,12,10,22,1,0,1,23,5,10,15,Educacion y Humanidades
2024,UNA,P,IICS,Doctorado,5,2,7,0,0,0,7,8,2,10,Salud
2024,UNE,G,Ciencias Economicas,,1161,797,1958,208,112,320,2278,0,0,0,Ciencias Economicas y Administracion
2024,UNE,G,Filosofia,,1464,510,1974,120,188,308,2282,0,0,0,Educacion y Humanidades
2024,UNE,G,Derecho y Ciencias Sociales,,663,452,1115,106,65,171,1286,0,0,0,Derecho y Ciencias Sociales
2024,UNE,G,Politecnica,,786,1290,2076,22,26,48,2124,0,0,0,Ingenieria y Tecnologia
2024,UNE,G,Ciencias de la Salud,,267,129,396,30,27,57,453,99,83,182,Salud
2024,UNE,G,Ingenieria Agronomica,,337,499,836,32,34,66,902,0,0,0,Ciencias Agrarias
2024,UNE,G,Escuela Superior de Bellas Artes,,136,93,229,12,9,21,250,0,0,0,Educacion y Humanidades
2024,UNE,P,Derecho y Ciencias Sociales,Maestria en Ciencias Juridicas con enfasis en derecho Civil,48,33,81,0,0,0,81,0,0,0,Derecho y Ciencias Sociales
2024,UNE,P,Derecho y Ciencias Sociales,Maestria en Ciencias Juridicas con enfasis en Derecho Penal,21,29,50,0,0,0,50,0,0,0,Derecho y Ciencias Sociales
2024,UNE,P,Derecho y Ciencias Sociales,Especializacion en Ciencias Juridicas con enfasis en derecho Civil,0,0,0,22,17,39,39,0,0,0,Derecho y Ciencias Sociales
2024,UNE,P,Derecho y Ciencias Sociales,Especializacion en Ciencias Juridicas con enfasis en Derecho Penal,0,0,0,12,13,25,25,0,0,0,Derecho y Ciencias Sociales
2024,UNE,P,Ciencias de la Salud,Especializacion en Clinica Pediatrica,16,2,18,5,1,6,24,48,49,97,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Cirugia General,5,13,18,1,5,6,24,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Medicina Interna,6,12,18,7,5,12,30,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Medicina Familiar y Comunitaria,13,10,23,2,1,3,26,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Ginecologia y Obstetricia,16,10,26,1,3,4,30,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Ecografia General Obstetrica y Ginecologica 6ta Coh,25,18,43,9,3,12,55,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Anestesiologia,0,0,0,0,0,0,0,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Perinatologia,0,0,0,0,0,0,0,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Gestion de Servicios de Salud,0,0,0,0,0,0,0,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Enfermeria en Cuidados Criticos del Adulto,14,5,19,6,2,8,27,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Especializacion en Enfermeria de Emergencias y Urgencias,31,6,37,0,0,0,37,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Maestria en Ciencias Medicas,0,0,0,1,0,1,1,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Maestria en Ecografia Ginecologica y Obstetrica,0,0,0,0,2,2,2,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Maestria en Ciencias de la Salud,8,1,9,0,1,1,10,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Doctorado en Ciencias Medicas,0,0,0,0,1,1,1,0,0,0,Salud
2024,UNE,P,Ciencias de la Salud,Maestria en Nutricion Clinica,0,0,0,0,0,0,0,0,0,0,Salud
2024,UNE,P,Filosofia,Especializacion en Didactica Universitaria,146,71,217,156,53,209,426,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Psicologia Clinica,333,42,375,112,124,236,499,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Evaluacion Educacional,140,61,201,27,9,36,237,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Gestion Educacional,42,13,55,49,20,69,124,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Mediacion y Resolucion de Conflictos,33,12,45,24,17,41,86,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Psicologia Laboral,38,2,40,26,5,31,71,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Maestria en Educacion con Enfasis en Investigacion Educacional,44,17,61,0,0,0,61,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Doctorado en Psicologia,31,7,38,0,0,0,38,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Estadistica,0,0,0,9,9,18,18,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Literatura Paraguaya,0,0,0,22,2,24,24,0,0,0,Educacion y Humanidades
2024,UNE,P,Filosofia,Especializacion en Psicologia Oncologica,0,0,0,12,0,12,12,0,0,0,Educacion y Humanidades
2024,UNE,P,Ciencias Economicas,Especializacion en Finanzas con Enfasis en Proyecto de Inversion,14,12,26,0,0,0,26,0,0,0,Ciencias Economicas y Administracion
2024,UNE,P,Ciencias Economicas,Especializacion en Auditoria y Control de Gestion,0,0,0,15,1,16,16,0,0,0,Ciencias Economicas y Administracion
2024,UNE,P,Ciencias Economicas,Maestria en Administracion de Empresas,0,0,0,11,6,17,17,0,0,0,Ciencias Economicas y Administracion
2024,UNE,P,Ingenieria Agronomica,Maestria en Nutricion de Planta y Produccion Agricola,8,33,41,2,4,6,47,0,0,0,Ciencias Agrarias
2024,UNE,P,Ingenieria Agronomica,Maestria en Agronegocios,13,7,20,1,2,3,23,0,0,0,Ciencias Agrarias
2024,UNE,P,Ingenieria Agronomica,Maestria en Auditoria y Gestion Ambiental,13,7,20,1,0,1,21,0,0,0,Ciencias Agrarias
2024,UNE,P,Ingenieria Agronomica,Maestria en Agricultura Sostenible,4,0,4,3,1,4,8,0,0,0,Ciencias Agrarias
2024,UNE,P,Politecnica,Especializacion en Planeamiento de Sistemas de Energia Electrica,4,7,11,0,4,4,15,0,0,0,Ingenieria y Tecnologia
2024,UNE,P,Politecnica,Maestria en Informatica y Computacion,11,32,43,0,1,1,44,0,0,0,Ingenieria y Tecnologia
2024,UNE,P,Politecnica,Maestria en Ingenieria Electrica,9,43,52,0,0,0,52,0,0,0,Ingenieria y Tecnologia
